name,location,length,gain,highpoint,rating,description
Taylor River - Otter Falls,Snoqualmie Region -- North Bend Area,"11.0 miles, roundtrip",650,1750.0,4.02,"Lose yourself in second-growth forest as you traverse an old logging road that heads into quiet wilderness just an hour from the urban sprawl of Puget Sound. Enjoy the sounds of water rushing and birds singing. Explore mossy boulders and cross multiple burbling creeks, even do a small amount of cross-country travel on the way to the piece de resistance – a 1,200 foot waterfall that streams into tiny Lipsy Lake before draining to the Taylor River."
Meadowdale Beach Park - Lunds Gulch,Puget Sound and Islands -- Seattle-Tacoma Area,"2.5 miles, roundtrip",425,425.0,3.68,"Hike down a lushly forested ravine with a babbling creek to its estuary as it empties into Puget Sound. Heading to the beach, breathe in the serene panorama of Brown’s Bay, Puget Sound, the islands, and the Olympic Mountains. Watch seabirds and go beachcombing to look for crabshells, anemones, and other treasures."
Eagle Trail,Puget Sound and Islands -- Seattle-Tacoma Area,"1.0 miles, roundtrip",50,90.0,0.00,"The Eagle Trail is a grassy urban course on the Stillaguamish River dike from Haller Park to the Dike Road in the City of Arlington. Opened in 2011, it provides an opportunity for nature and wildlife viewing while wandering green space within the city limits and a designated area for dogs to romp and play."
Cow Heaven,North Cascades -- North Cascades Highway - Hwy 20,"9.6 miles, roundtrip",4040,4460.0,3.71,"With a trailhead accessible year round, Cow Heaven and views of the Skagit and Sauk River Valleys along with the majestic North Cascades are a promising paradise despite the challenge of a zigzag ascent spent mostly within the shelter of the forest."
Cora Lake,Mount Rainier Area -- SW - Longmire/Paradise,"6.0 miles, roundtrip",400,3800.0,4.11,Enjoy this easy hike through massive trees with great views of a lovely lake and an impressive lookout towering over it all.
Jumpoff Joe Lookout,Central Washington -- Yakima,"10.0 miles, roundtrip",2531,5749.0,4.00,"Hiking to Jumpoff Lookout may not be for everybody, but if you make the trek, it has a lot to offer. From a family-friendly lake to a more challenging climb to a fire lookout."
Pine Creek,South Cascades -- Mount St. Helens,"2.5 miles, roundtrip",170,3130.0,4.20,"Nestled in the southeast corner of Mount St Helens, the Pine Creek Trail offers a short, easy graded path into second growth forest at the base of the active stratovolcano. You can visit a historic wood-shingled shelter built in the 1920s and continue on to a viewpoint along the Muddy River Lahar moonscape."
Lost Lake,South Cascades -- Goat Rocks,"16.2 miles, roundtrip",2400,5200.0,0.00,"Accessible from both Packwood Lake and the Clear Fork trailhead, Lost Lake is a medium-sized, scenic little mountain lake ringed with trees and nestled in a small bowl below the former Lost Lake lookout site, a good spot for overnighting or taking a long day hike."
Margaret Lake,Snoqualmie Region -- Snoqualmie Pass,"6.0 miles, roundtrip",1500,5100.0,3.34,"Logging paid for most of the trails in the Cascades, so sometimes hikers must expect to hike the terrain that provided that rich stock of timber. This trail starts on an old logging road, leads through old clearcuts—now nicely regrown as lush berry meadows and forest stands—and enters lush old second-growth forest. It’s a great way to experience both the natural and human history of the area, while enjoying some remarkable wild country around a pristine alpine lake."
Mission Peak,Central Washington -- Wenatchee,"4.0 miles, roundtrip",840,6876.0,3.50,"When road conditions allow, take a short hike up Mission Peak for expansive views west into the Cascades and east to Wenatchee and beyond."
Heybrook Lookout,Central Cascades -- Stevens Pass - West,"2.6 miles, roundtrip",850,1700.0,3.61,"Heybrook Lookout is a short and moderately steep hike through a fern and moss covered forest to a fun, staircase-ridden lookout with great views of the nearby mountains. If you are introducing someone to hiking, limited on time, or trying to add on another hike or activity in the area, this is the hike for you."
Cap Sante Park,Puget Sound and Islands -- Bellingham Area,"3.2 miles, roundtrip",490,220.0,3.00,"Explore roads and trails on, and around, Cap Sante, an impressive rocky headland at the northeast corner of Anacortes. Enjoy views extending from Mount Baker to Mount Rainier, plus the busy harbor."
Cap Sante Park,Puget Sound and Islands -- Bellingham Area,"3.2 miles, roundtrip",490,220.0,3.00,"Explore roads and trails on, and around, Cap Sante, an impressive rocky headland at the northeast corner of Anacortes. Enjoy views extending from Mount Baker to Mount Rainier, plus the busy harbor."
West Fork Foss River and Lakes,Central Cascades -- Stevens Pass - West,"14.6 miles, roundtrip",3300,4900.0,4.21,"Visit any of several beautiful alpine lakes, in rocky basins. The day can be as easy as a 3.6 roundtrip hike to Trout Lake, or as strenuous as the nearly 15-mile hike to Big Heart Lake as you like. Good options exist both for day-hikers and for backpackers."
Barclay Lake,Central Cascades -- Stevens Pass - West,"4.4 miles, roundtrip",500,2423.0,3.92,"Barclay Lake offers something for almost everyone: a well-maintained trail that is accessible to beginners and children, stunning mountain views, mycology, camping, a serene alpine lake, and a staging area for challenging adventures in the 106,000-acre Wild Sky Wilderness. Keep your camera charged, as this popular pathway in the shadow of Baring Mountain offers many photo opportunities."
Lodge Lake,Snoqualmie Region -- Snoqualmie Pass,"3.0 miles, roundtrip",500,3500.0,3.55,"Snoqualmie Pass grows ever more developed each year. Condos go up left and right, the ski area plans new ski lifts (or replacements for existing chairs), and hotels pop up east and west. But even with the development, these are still mountains and there is still stunning mountain scenery to enjoy, even on the fringes of the developed areas. Lodge Lake stands as proof."
Glacier Lake,South Cascades -- Goat Rocks,"6.0 miles, roundtrip",1634,2905.0,2.67,"A short, but somewhat challenging hike to a quiet mountain lake."
Tolmie Peak Lookout - Eunice Lake,Mount Rainier Area -- NW - Carbon River/Mowich,"7.5 miles, roundtrip",1100,5900.0,4.53,"Hike to an old fire lookout with in-your-face views of Mount Rainier and a sapphire blue lake below. Tolmie Peak and Eunice Lake pack a one-two punch when it comes to scenery, but stopping at the picturesque lake is a perfectly acceptable destination as well."
Talus Loop,Snoqualmie Region -- North Bend Area,"6.0 miles, roundtrip",1400,2100.0,3.50,"Get a different view of the perennially-popular Mount Si on the Talus Loop Trail. Just under 4 miles long, the Talus Trail explores the eastern slopes of the mountain. You'll hike briefly with the crowds headed to the haystack, then peel off and enjoy a much quieter forest walk, along with a good workout."
Pearrygin Creek,North Cascades -- Methow/Sawtooth,"7.4 miles, roundtrip",2060,6644.0,3.00,"Looking for a challenge in route finding, with the payoff of partially obscured views? Then this trail is for you. What was once a popular non-motorized, multi-use trail was overrun by the 2006 Tripod Fire and the 2014 Carleton Complex Fire. Since the fires, a lack of maintenance and road washouts make access, route finding, and travel difficult."
Little Mashel Falls - Pack Forest,Puget Sound and Islands -- Seattle-Tacoma Area,"5.0 miles, roundtrip",500,1100.0,4.04,"Three waterfalls, multiple viewing areas, and two different trailheads provide great choices for an excursion to Little Mashel Falls. The tallest waterfall plunges over 90 feet."
Franklin Falls,Snoqualmie Region -- Snoqualmie Pass,"2.0 miles, roundtrip",400,2600.0,4.09,"Hiking with kids, new to hiking, or just looking for an easy day hike with a spectacular endpoint? Look no further then Franklin Falls! At just 2 miles with 400 feet in elevation gain it is the perfect destination for any hiker looking for something easy and beautiful!"
Foggy Dew Ridge,North Cascades,"12.0 miles, roundtrip",3040,7340.0,0.00,"Follow an irregularly maintained multi-use trail as it follows the forested ridge crest with periodic views across Foggy Dew Creek to the Sawtooth Range. When not recently maintained, this is a natural hiker-only trail due to downed logs, with many opportunities to see wildlife."
Weowna Park,Puget Sound and Islands -- Seattle-Tacoma Area,"3.5 miles, roundtrip",600,320.0,4.60,"Hike an urban park near Bellevue through extensive old-growth forest (yes, really)! Marvel at the many large conifers and deciduous trees. View a small creek in a steep canyon. Listen for, and perhaps see, abundant bird life. And, in season, note a few wildflowers."
Turtleback Mountain Preserve: Turtlehead Summit,Puget Sound and Islands -- San Juan Islands,"5.7 miles, roundtrip",1295,1025.0,5.00,"Hike a short trail that leads to one of the best viewpoints in the San Juans, with views of other San Juan Islands and of Canada's Gulf Islands. In the distance, Vancouver Island and the Olympic mountains will be visible. Along the way, enjoy an exuberant display of mosses and, in season, wildflowers. Sightings of golden eagles, turkey vultures, and many other birds are likely."
Tatoosh Lookout,South Cascades -- White Pass/Cowlitz River Valley,"10.4 miles, roundtrip",4100,6400.0,3.67,"The lookout is gone, but the stunning views remain. To the north is Mount Rainier with a turquoise tarn and rugged rock ridges in the foreground. A clear day reveals three other volcanos to the south and west."
Tatoosh Ridge,South Cascades -- White Pass/Cowlitz River Valley,"6.2 miles, roundtrip",2900,5775.0,3.73,"Tatoosh Ridge offers numerous choices, all involving a steep approach. Contentedly amble through a steep slope of wildflowers, with occasional mountain views. Drop into a valley with a pair of alpine lakes, or climb to the site of a former lookout. If you like, do all of the above."
Tatoosh Lakes,South Cascades -- White Pass/Cowlitz River Valley,"6.6 miles, roundtrip",3400,5750.0,3.00,"Tatoosh Lakes are not open to camping any more, but they are much easier to get to than they used to be, and still a good bet for solitude and the peaceful sounds of nature."
Talapus and Olallie Lakes,Snoqualmie Region -- Snoqualmie Pass,"6.2 miles, roundtrip",1220,3780.0,3.93,"With a moderate grade on a wide trail, the hike to Talapus Lake is the perfect introduction to the outdoors for hikers and beginning backpackers. Upon arrival at Talapus, break out lunch or pitch camp. Either way, you can cool off in the large lake. If you feel like pressing on, Ollalie Lake is just about a mile and a half up trail, where open campsites offer lakeside havens with calm waters and views of a beautiful lake basin."
Sultan River Canyon Trail,Central Cascades -- Stevens Pass - West,"4.0 miles, roundtrip",900,1700.0,3.50,"If you don’t mind descending first, then ascending later, the Sultan River Canyon trail is a nice alternative for the shoulder season when snow is still too deep in the mountains. Drop to the sparkling Sultan River, then climb back up on nicely graded switchbacks in the shade."
Skyline Lake Snowshoe,Central Cascades -- Stevens Pass - West,"3.0 miles, roundtrip",1100,5100.0,4.15,"Dramatic mounds of snow, a frozen lake and sweeping views into the Alpine Lakes and Glacier Peak Wildernesses await snowshoers at Skyline Lake. Easily accessed from the Stevens Pass ski area, this steep and rewarding ridge walk is a classic on a sunny day."
Silent Swamp Loop,Issaquah Alps -- Tiger Mountain,"8.8 miles, roundtrip",600,1780.0,3.12,"Hike a restored trail in the southeast corner of the Tigers, through an area that is very green, with impressive moss cover and with many huge, decaying stumps remaining from logging a century ago."
Sharpe Park - Sares Head,Puget Sound and Islands -- Bellingham Area,"2.1 miles, roundtrip",440,490.0,4.29,"This hike just south of Anacortes offers superb views of the ocean and islands from a pair of high vantage points, and it has some fine trails through mixed forest along the way."
Sharpe Park - Montgomery - Duban Headlands,Puget Sound and Islands -- Bellingham Area,"1.9 miles, roundtrip",425,370.0,3.60,"Follow well-signed but sometimes rough trails to a great viewpoint near the water's edge at Porpoise Point. Enjoy views of distant islands, and on a clear day of the distant Olympic Mountains. Sightings of seals, eagles, waterfowl, and sometimes otters are likely."
Fort Columbia State Park - Scarborough Hill,Southwest Washington -- Long Beach Area,"2.8 miles, roundtrip",630,767.0,2.75,"Climb to the top of a low peak at on the Washington side of the Columbia River, then visit an historic fort, complete with gun battery and old buildings available to rent."
Poe Mountain via Little Wenatchee Trailhead,Central Cascades -- Stevens Pass - East,"6.0 miles, roundtrip",3000,6015.0,0.00,"Three thousand feet in three miles make the Little Wenatchee a substantial albeit relatively short hike for exercise provided. The trail was the primary supply route to the old Poe Mountain lookout, and like many lookout access trails wastes no time in getting to the top. But it is well built, switchbacking up the hill. The first two-thirds of the hike are in light tree cover, so the views come as a surprise when you get to them."
Pioneer Park - Mercer Island,Puget Sound and Islands -- Seattle-Tacoma Area,"1.25 miles, roundtrip",200,300.0,4.00,"This Mercer Island park offers a dense network of forest trails with tall trees and a lot of moss, ferns and some seasonal wildflowers. All the trails are open to hikers and bicyclists; some also are designated for use by equestrians."
Nason Ridge Snowshoe,Central Cascades -- Leavenworth Area,"3.6 miles, roundtrip",750,2720.0,3.00,"A number of moderate snowshoe trails lie around the Lake Wenatchee area, but with a big, beautiful Ponderosa pine tree and views of the surrounding mountains, Nason Ridge gives you the best bang for your buck."
Mirror and Cottonwood Lakes,Snoqualmie Region -- Snoqualmie Pass,"2.2 miles, roundtrip",870,4200.0,4.21,"Nestled in a quiet basin only a stone’s throw from Snoqualmie Pass, pristine Mirror Lake is a destination to be enjoyed by the whole family. Rarely can you find such lovely sites with so little effort, but here, a short trek will take you through forests, across delicate streams, and past brightly colored wildflowers. Humming with butterflies, birds, bees, and babbling streams, this trail is not to be missed."
Marymere Falls,Olympic Peninsula -- Northern Coast,"1.8 miles, roundtrip",500,1100.0,3.97,Walk among old-growth giants as you travel to one of Olympic National Park's best-loved waterfalls.
Tieton River Nature Trail,Central Washington -- Yakima,"6.75 miles, roundtrip",300,600.0,3.60,"This short hike is an excellent option during a visit to the Naches area in the spring and summertime. You'll enjoy a ramble along a river, impressive geologic formations, and relative solitude, though the area is open to mountain bikers and popular with rock climbers and birders."
Crescent Lake,Central Cascades -- Stevens Pass - East,"12.0 miles, roundtrip",3732,5489.0,2.67,Save yourself the sweat of a summit attempt and simply bask at the cool shores of this delightful little lake.
Council Bluff,South Cascades -- Mount Adams Area,"3.2 miles, roundtrip",950,5180.0,2.83,"From its rocky and rutted beginnings, to the short last push to the top of a former fire lookout site, this trail boasts big rewards for very little effort. The west slope of Mount Adams is right there behind you as you head to the top of Council Bluff to face the mountain in full."
Cedar Flats Nature Trail,Southwest Washington -- Lewis River Region,"1.1 miles, roundtrip",67,1380.0,2.50,"The Cedar Flats Nature trail is an old growth mixed forest of cedar, Douglas fir, and hemlock. It's a peaceful stroll through deep, quiet forest, perfect for children and grown ups alike."
Cedar Butte,Snoqualmie Region -- North Bend Area,"3.5 miles, roundtrip",900,1880.0,3.33,"Take a short hike up a forested butte near Rattlesnake Lake, just 1.75 miles each way with 900 feet of elevation gain. Reach a summit with views toward the north, from Mount Si to Mailbox Peak, and several other peaks in between. Some hikers judge Cedar Butte to be a better viewpoint than the much-visited West Tiger 3 summit, and it requires less effort and has smaller crowds, so when you are ready for a change of scene check it out."
Shoreview and Boeing Creek Parks,Puget Sound and Islands -- Seattle-Tacoma Area,1.9 miles of trails,280,440.0,3.00,"This pair of back-to-back urban parks just west of Shoreline Community College offers some very tall trees, small creeks, and a network of (mostly) good trails with a few ups and downs. Wildflowers, ferns, moss, birds: they are all here."
Beckler Peak,Central Cascades -- Stevens Pass - West,"7.6 miles, roundtrip",2240,5026.0,4.52,"Hike a re-built trail adjacent to the Wild Sky Wilderness. The Beckler Peak trail opened in September of 2011, and with it, the Jennifer Dunn trailhead. The trail takes you through an old-growth forest to summit views of Glacier Peak, Baring, Index, the Monte Cristo Range, and Evergreen Mountain. It's easy to get to and provides great rewards for your effort. The trail has a gentle grade, it is well built, and suitable for kids. Be sure to take water with you, because there is no reliable water along the trail."
Artist Point Snowshoe,North Cascades -- Mount Baker Area,"4.0 miles, roundtrip",1000,5100.0,4.42,"Artist Point is the top competitor for best viewpoint in the state. The beautifully shaped Mount Shuksan is the star of the area, with a gorgeous summit pyramid and several impressive glaciers. This relatively easy snowshoe is an excellent winter destination with a virtual guarantee of good snow coverage."
Heybrook Ridge,Central Cascades -- Stevens Pass - West,"3.3 miles, roundtrip",775,1327.0,4.16,"The Leovy Trail, a testament to community land conservation, is a moderate ascent through second-growth Cascade rainforest to the summit of Heybrook Ridge. At the top, take in stunning views of Mount Index, Bridal Veil Falls, and the Skykomish Valley."
Iron Bear - Teanaway Ridge,Central Cascades -- Blewett Pass,"6.5 miles, roundtrip",1900,5489.0,4.06,"In spring and early summer, the flowers are so profuse and beautiful that you would think that a gardener had planted them. And because this area is usually clear of snow long before many others in the region, hikers can attain Iron Bear Pass, the Teanaway Ridge and views of the Stuart Range and Mount Rainier while much of the Cascade Range is still snowed in."
Goat Lake,North Cascades -- Mountain Loop Highway,"10.4 miles, roundtrip",1400,3161.0,4.21,"A nice hike with plenty of variety. Beautiful forest, a rushing creek, waterfalls of all shapes and sizes, history, and of course a large blue-green lake surrounded by snowy peaks. At 10.4 miles, it can be either a day-hike or a quick early season overnight. You won’t be alone, though – this is a popular trail with both hikers and backpackers."
Lime Kiln Trail,North Cascades -- Mountain Loop Highway,"7.0 miles, roundtrip",625,750.0,3.62,"Here's an unusual hike through a very mossy forest and along a narrow river canyon, past sites that were important in local history. A railroad once ran along the canyon, passing through small communities. Logging was done in the area, and lime once was produced from limestone here, in a kiln that still stands. The railroad and communities are gone now, and much has disappeared over the past eighty years. But a few artifacts still remain and can be seen near the trail."
Lake Valhalla,Central Cascades -- Stevens Pass - East,"7.0 miles, roundtrip",1500,5050.0,4.35,"Lake Valhalla is a gem, tucked under Lichtenberg Mountain and Mount McCausland on the PCT North of Stevens Pass. The lake is a great day hike in summer or fall and accessible by snowshoe in the winter. Wildflowers abound in early summer, berries in late summer and fall colors make vivid surroundings in autumn."
Lake 22,North Cascades -- Mountain Loop Highway,"5.4 miles, roundtrip",1350,2400.0,4.26,"The curiously-named Lake Twentytwo is the center of an oasis of alpine wetland nestled on the northern shoulder of Mount Pilchuck. The hike to the lake combines the best of mountain rainforests, old-growth, wetlands, and mountain views, yet it is readily accessible. In winter the route lends itself to snowshoeing."
Lake Whatcom Park - Chanterelle Trail,Puget Sound and Islands -- Bellingham Area,"4.8 miles, roundtrip",1000,1314.0,4.17,Enjoy a steep trail to a summit east of Lake Whatcom with gorgeous views of Puget Sound and the surrounding mountains.
Little Huckleberry Mountain,Southwest Washington -- Columbia River Gorge - WA,"5.0 miles, roundtrip",1800,4781.0,3.70,"Climb to the top of Little Huckleberry Mountain, where you will be greeted with excellent views of Mount Adams and other Cascade peaks. Though steep at times, the summit and the huckleberries you’ll find along the way make this hike worthwhile."
Manastash Lake,Central Washington -- Yakima,"8.0 miles, roundtrip",2100,5063.0,3.89,"Hike through a diverse forest to two alpine lakes that rest atop Manastash Ridge, one of Central Washington’s most notable geologic formations. The trail to Lost and Manastash Lakes is an underappreciated gem that will delight larch lovers, berry munchers, flower photographers, and campers alike."
Milk Creek - Suiattle River Loop,North Cascades -- Mountain Loop Highway,"34.7 miles, roundtrip",2100,3900.0,0.00,"The Milk Creek trail used to offer a gorgeous tour of the Glacier Peak wilderness via a 34.7-mile backpacking loop. Hikers followed the Milk Creek trail to the Pacific Crest Trail, then down to the Suiattle River Trail. Along the way it offered stunning close-up views of Glacier Peak, endless wildflower meadows and ample opportunities for solitude. Unfortunately, it now requires a potentially dangerous ford of the Suiattle River due to a missing bridge. Because of its inaccessibility and a lack of maintenance, expect a brushy trail with blowdowns beyond this point."
Source Lake,Snoqualmie Region -- Snoqualmie Pass,"6.0 miles, roundtrip",700,3800.0,3.83,"If you want to see the headwaters of the mighty Snoqualmie River, head for the source. Source Lake, that is. It's a modest pond, but the setting is remarkable. Craggy peaks ring this pool, found along the way to one of the state's most popular alpine lake -- Snow Lake."
Mount Dickerman,North Cascades -- Mountain Loop Highway,"8.2 miles, roundtrip",3950,5760.0,4.64,"If the best views come to those who earn them, Mount Dickerman offers the fairest vantage along the Mountain Loop. You’ll huff and puff through 4,000 feet of elevation on your way to the summit; in return, you’ll get a superb panorama of nearly every peak in the Mountain Loop. In late summer, it also rewards the intrepid with a bounty of mountain blueberries."
Notch Pass,Olympic Peninsula -- Hood Canal,"8.6 miles, roundtrip",2700,2500.0,3.73,"Believed to be a former Native American trading route through the Olympics, this historic trail was rebuilt by the Civilian Conservation Corps (the CCC) in the 1930s. It was relocated in the early 2000s and is a popular WTA volunteer work party site to this day."
Hazel Wolf Wetlands,Issaquah Alps,"1.7 miles, roundtrip",60,525.0,3.78,"Hike a loop around this exceptional wetland. In season, view a variety of waterfowl. And marvel at the close-up views of beaver dams."
Gem Lake,Snoqualmie Region -- Snoqualmie Pass,"10.0 miles, roundtrip",1800,4857.0,4.36,Gem Lake is nestled at the foot of Wright Mountain and is about two miles beyond the trail junction at Rock Creek trail #1013.1 that intersects with the Snow Lake trail starting at Alpental. Beautiful colors surround the lake in autumn as do the many climbable peaks in the area.
The Enchantments,Central Cascades -- Leavenworth Area,"18.0 miles, one-way",4500,7800.0,4.69,"The Enchantment Lakes are an alpine wonderland of pristine lakes set among polished granite, soaring peaks, blazing larches, and ambling mountain goats. Widely regarded as the crown jewel of hiking in Washington, this trail exceeds even the wildest of superlatives."
Big Finn Hill Park,Puget Sound and Islands -- Seattle-Tacoma Area,"9.5 miles, roundtrip",100,450.0,2.75,"Big Finn Hill Park is the lesser-known cousin to the adjoining Saint Edwards State Park in Kirkland. Its expansive 220 acres are worth exploring and getting to know for their miles of meandering trails fit for mountain biking and casual strolling. Chock-full of tall Douglas-firs, ferns and bright green mosses, it offers possibilities to spot eagles, deer and owls."
Squires Lake Park,Puget Sound and Islands -- Bellingham Area,"2.0 miles, roundtrip",200,680.0,3.62,This short loop trail around a quiet lake is a great place to enjoy an after-work outdoor stroll or take the kids on an easy outdoor excursion.
Baker Lake - Maple Grove,North Cascades -- Mount Baker Area,"8.0 miles, roundtrip",500,1000.0,3.75,"Magnificent old growth forests, stellar views of Mount Baker, turbulent tributaries, and, of course, a beautiful lake make this trail a great path to travel."
Green Mountain - Gold Creek Trail,Olympic Peninsula -- Kitsap Peninsula,"5.0 miles, roundtrip",1000,1639.0,3.68,"Green Mountain is the Kitsap Peninsula's go-to after work destination. Whether you're mountain biking, trail running, or hiking, you can get a quick workout by hiking the Gold Creek Trail up to the summit of Green Mountain."
Grove of the Patriarchs Loop,Mount Rainier Area -- SE - Cayuse Pass/Stevens Canyon,"1.5 miles, roundtrip",50,2200.0,3.71,"Some of the biggest, oldest trees in the Washington Cascades stand tall in the Grove of the Patriarchs. These silent old men of moss tower overhead, with a few lying down to show us just how massive the trunks really are. The Grove resides in a low, boggy area across the Ohanapecosh River, so you'll need to cross a sweet little suspension bridge to get there, offering you a chance to enjoy a bit of adventure on this simple little trail. Youngsters typically love the bridge, and kids of all ages marvel at the massive trees."
Hoh River Trail to Five Mile Island,Olympic Peninsula -- Pacific Coast,"10.6 miles, roundtrip",300,800.0,3.58,"A classic hike in any season, but come in winter and you’ll find that the hordes of tourists, hikers, and climbers who use this trail in the summer have dwindled to just a trickle."
Pete Lake,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.0 miles, roundtrip",400,3200.0,3.40,"The Pete Lake trail is a mild-mannered path with something to offer for hikers, campers, children, birders, wildlife enthusiasts, and aquaphiles. This even-tempered route follows the Cooper River 4.5 miles to its headwater, passing through a diverse old-growth forest and terminating at an alpine lake sitting in the shadows of Big Summit Chief and Chimney Rock."
Interlaken Park,Puget Sound and Islands -- Seattle-Tacoma Area,"1.6 miles, roundtrip",200,325.0,3.00,Hike a series of short trails through this hilly forested park at the northern end of Seattle's Capitol Hill.
Red Top Lookout,Central Cascades -- Blewett Pass,"1.5 miles, roundtrip",350,5360.0,3.65,"Red Top Lookout, built in 1952, restored in 1997, and still operational today, provides a fine bang for your hiking buck. A short, steep trail leads to the functioning fire lookout as well as magnificent 360 degree views of the Stuart Range, Teanaway Ridge, Chelan and Entiat Mountains, Mount Rainier, and even Mount Adams on a clear day."
Etienne Creek,Central Cascades -- Blewett Pass,"4.0 miles, roundtrip",1400,6100.0,2.80,"This trail follows the drainage to join the Falls Creek Trail. The trailhead is found behind a gated Shaser Road, making it a 4-mile road walk or bike ride to hike this four mile round-trip trail."
Tronsen Meadow,Central Cascades -- Blewett Pass,"3.4 miles, roundtrip",1168,5536.0,2.83,"This multi-use, steep trail passes through forests and meadows, with views of the surrounding Diamond Head, Miller and Navaho Peaks, and the Enchantments, ultimately connecting with the Tronsen Ridge Trail. From here, access is also possible to Table Mountain."
Hardscrabble Creek,Central Cascades -- Blewett Pass,"3.7 miles, one-way",2000,5900.0,3.40,"Hardscrabble Creek connects the Ingalls Creek drainage with the Wenatchee Mountain crest. Steep and difficult to follow, it has no trailhead, but rather begins at a junction with the Ingalls Creek trail, 8.5 miles from the Ingalls Creek Trailhead."
Cascade Creek,Central Cascades -- Blewett Pass,"2.4 miles, one-way",2400,6000.0,2.50,"An overgrown and hard-to-follow trail in the Alpine Lakes Wilderness, Cascade Creek offers intrepid hikers backdoor access to Navaho Peak, and the possibility of loops in and all around the Teanaway area."
Green Mountain,North Cascades -- Mountain Loop Highway,"8.5 miles, roundtrip",3300,6500.0,4.29,"In a state with so many places offering a day's walk to big, peaky views, Green Mountain still makes the short-list of Washington's all-time finest hikes. From woods to meadows to panoramic views and even a historic lookout, it just doesn't get much better than this."
Milk Creek,North Cascades -- Mountain Loop Highway,"6.0 miles, roundtrip",2100,3900.0,3.50,"This hike requires a potentially dangerous ford of the Suiattle River due to a missing bridge. Because of its inaccessibility and a lack of maintenance, expect a brushy trail with blowdowns beyond this point."
