geometry,Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,share_Dystopia + residual,share_Log GDP per capita,share_Social support,share_Healthy life expectancy,share_Freedom to make life choices,share_Generosity,share_Perceptions of corruption
"POLYGON ((27.288184848751513 57.47452830670383, 27.77001590344093 57.24425812441123, 27.855282016722526 56.75932648378429, 28.17670942557794 56.16912995057879, 27.10245975109453 55.783313707087686, 26.494331495883756 55.615106919977634, 25.533046502390334 56.100296942766036, 25.000934279080894 56.16453074810484, 24.86068444184076 56.37252838807963, 23.878263787539964 56.27367137310527, 22.201156853939494 56.33780182557949, 21.055800408622417 56.031076361711065, 21.090423618257972 56.78387278912294, 21.581866489353672 57.411870632549935, 22.52434126149288 57.75337433535076, 23.318452996522097 57.00623647727487, 24.12072960785343 57.02569265403277, 24.312862583114622 57.79342357037697, 25.16459354014927 57.97015696881519, 25.60280968598437 57.84752879498657, 26.463532342237787 57.47638865826633, 27.288184848751513 57.47452830670383))",Latvia,6.234,6.314,6.155,1.59,1.7,1.508,0.564,0.666,0.127,0.078,25.50529355149182,27.269810715431504,24.189926211100417,9.047160731472568,10.68334937439846,2.0372152710940004,1.2512030798845042
"POLYGON ((27.981126857000987 59.47537333432527, 27.981120000000033 59.47537000000011, 28.13169925305175 59.300825100330925, 27.42015000000015 58.72457000000014, 27.71668582531572 57.79189911562436, 27.288184848751513 57.47452830670383, 26.463532342237787 57.47638865826633, 25.60280968598437 57.84752879498657, 25.16459354014927 57.97015696881519, 24.312862583114622 57.79342357037697, 24.42892785004216 58.38341339785329, 24.061198357853186 58.25737457949341, 23.426560092876684 58.612753404364625, 23.339795363058645 59.187240302153384, 24.604214308376186 59.46585378685502, 25.86418908051664 59.61109039981133, 26.949135776484525 59.445803331125774, 27.981114129353244 59.475388088612874, 27.981126857000987 59.47537333432527))",Estonia,6.448,6.524,6.371,1.138,1.752,1.527,0.657,0.805,0.166,0.401,17.648883374689824,27.1712158808933,23.681761786600493,10.189205955334987,12.484491315136477,2.574441687344913,6.2189826302729525
"POLYGON ((14.119686313542559 53.75702912049104, 14.353315463934138 53.24817129171297, 14.074521111719434 52.98126251892535, 14.437599725002201 52.62485016540839, 14.685026482815687 52.0899474147552, 14.607098422919535 51.74518809671997, 15.01699588385867 51.10667409932158, 14.570718214586066 51.002339382524276, 14.307013380600637 51.117267767941414, 14.056227654688172 50.9269176295943, 13.338131951560285 50.73323436136435, 12.966836785543194 50.484076443069085, 12.240111118222558 50.266337795607285, 12.415190870827445 49.96912079528057, 12.521024204161193 49.547415269562734, 13.031328973043431 49.30706818297324, 13.595945672264437 48.87717194273715, 13.243357374737 48.416114813829054, 12.884102817443875 48.28914581968786, 13.02585127122049 47.63758352313583, 12.932626987365948 47.467645575544, 12.620759718484493 47.67238760028441, 12.141357456112788 47.703083401065776, 11.426414015354737 47.523766181012974, 10.544504021861599 47.5663992376538, 10.402083774465211 47.30248769793916, 9.89606814946319 47.580196845075704, 9.59422610844635 47.52505809182027, 8.522611932009767 47.83082754169129, 8.317301466514095 47.61357982033627, 7.466759067422231 47.62058197691181, 7.593676385131062 48.33301911070372, 8.099278598674744 49.01778351500333, 6.658229607783568 49.20195831969157, 6.186320428094177 49.463802802114515, 6.242751092156993 49.90222565367873, 6.043073357781111 50.128051662794235, 6.15665815595878 50.80372101501058, 5.988658074577813 51.851615709025054, 6.589396599970826 51.852029120483394, 6.842869500362383 52.22844025329755, 7.092053256873896 53.144043280644894, 6.905139601274129 53.48216217713065, 7.100424838905269 53.69393219666267, 7.936239454793963 53.74829580343379, 8.121706170289485 53.52779246684429, 8.800734490604668 54.020785630908904, 8.57211795414537 54.39564647075406, 8.526229282270208 54.96274363872516, 9.282048780971138 54.830865383516176, 9.921906365609118 54.98310415304803, 9.9395797054529 54.596641954153256, 10.950112338920519 54.363607082733154, 10.93946699386845 54.00869334575259, 11.956252475643282 54.19648550070116, 12.518440382546714 54.470370591847995, 13.647467075259499 54.0755109727059, 14.119686313542559 53.75702912049104))",Germany,6.719,6.815,6.622,1.513,1.871,1.39,0.702,0.7,0.174,0.368,22.518231879744008,27.84640571513618,20.687602321774072,10.447983330852804,10.41821699657687,2.5896710820062507,5.477005506771841
"POLYGON ((22.65714969248299 44.23492300066128, 22.944832391051847 43.82378530534713, 23.332302280376325 43.897010809904714, 24.100679152124172 43.74105133724785, 25.569271681426926 43.68844472917472, 26.065158725699746 43.94349376075127, 27.242399529740908 44.175986029632405, 27.970107049275075 43.81246816667522, 28.558081495891997 43.70746165625813, 28.03909508638472 43.293171698574184, 27.67389773937805 42.57789236100622, 27.99672041190539 42.00735871028779, 27.13573937349048 42.14148489030134, 26.1170418637208 41.82690460872456, 26.106138136507127 41.32889883072784, 25.197201368925448 41.23448598893053, 24.492644891057978 41.58389618587205, 23.692073601992348 41.309080918943856, 22.952377150166452 41.33799388281115, 22.881373732197346 41.999297186850356, 22.380525750424592 42.32025950781509, 22.54501183440962 42.46136200618804, 22.43659467946128 42.580321153323936, 22.60480146657133 42.898518785161144, 22.986018507588483 43.2111612005271, 22.500156691180223 43.642814439461006, 22.410446404721597 44.008063462899955, 22.65714969248299 44.23492300066128))",Bulgaria,5.463,5.569,5.357,1.088,1.629,1.469,0.567,0.62,0.083,0.006,19.915797181036062,29.818780889621088,26.88998718652755,10.378912685337726,11.349075599487461,1.519311733479773,0.10982976386600769
"MULTIPOLYGON (((26.290002882601698 35.29999034274793, 26.16499759288766 35.00499542900977, 24.724982130642303 34.91998769788964, 24.735007358506916 35.08499054619759, 23.51497846852808 35.27999156345098, 23.699980096133004 35.70500438083549, 24.246665073348705 35.368022365860185, 25.02501549652891 35.42499563246197, 25.769207797964185 35.35401805270908, 25.745023227651586 35.1799976669662, 26.290002882601698 35.29999034274793)), ((22.952377150166452 41.33799388281115, 23.692073601992348 41.309080918943856, 24.492644891057978 41.58389618587205, 25.197201368925448 41.23448598893053, 26.106138136507127 41.32889883072784, 26.1170418637208 41.82690460872456, 26.60419559093623 41.562114569661105, 26.294602085075667 40.93626129817413, 26.05694217296534 40.82412344010076, 25.44767703624416 40.85254547786144, 24.92584842296094 40.947061672523205, 23.71481123220076 40.687129218095095, 24.40799889496401 40.12499298762407, 23.899967889102584 39.96200552017552, 23.342999301860743 39.96099782974579, 22.813987664488934 40.476005153966526, 22.626298862404724 40.25656118423916, 22.84974775563478 39.659310818025745, 23.35002729665257 39.190011298167235, 22.973099399515547 38.97090322524963, 23.530016310324925 38.51000112563844, 24.025024855248887 38.21999298761642, 24.040011020613576 37.655014553369426, 23.115002882589124 37.920011298162194, 23.409971958111043 37.40999074965737, 22.77497195810861 37.30501007745653, 23.15422529469862 36.422505804992056, 22.490028110451078 36.4100001083774, 21.67002648284364 36.8449864771942, 21.29501061370155 37.64498932550464, 21.120034213961333 38.31032339126273, 20.730032179454554 38.769985256498785, 20.217712029712857 39.34023468683961, 20.15001590341052 39.62499766698397, 20.615000441172754 40.11000682225938, 20.674996779063633 40.43499990494303, 20.999989861747224 40.58000397395398, 21.0200403174764 40.84272695572588, 21.674160597426976 40.931274522457954, 22.05537763844427 41.14986583105269, 22.597308383889015 41.130487168943205, 22.761770000000013 41.30480000000006, 22.952377150166452 41.33799388281115)))",Greece,5.934,6.027,5.84,1.83,1.684,1.276,0.696,0.337,0.018,0.093,30.83923154701719,28.378833838894508,21.50320188742838,11.72901921132457,5.679137175598248,0.3033367037411526,1.5672396359959553
"POLYGON ((21.0200403174764 40.84272695572588, 20.999989861747224 40.58000397395398, 20.674996779063633 40.43499990494303, 20.615000441172754 40.11000682225938, 20.15001590341052 39.62499766698397, 19.980000441170148 39.69499339452341, 19.960001661873207 39.91500580500605, 19.406081984136733 40.250773423822466, 19.319058872157143 40.72723012955356, 19.40354983895429 41.40956574153546, 19.540027296637106 41.71998607031276, 19.37176883309496 41.877547512370654, 19.37176816334725 41.877550679783496, 19.304486118250793 42.19574514420782, 19.73805138517963 42.68824738216557, 19.801613396898688 42.50009349219084, 20.070700000000045 42.58863000000008, 20.283754510181893 42.32025950781508, 20.522950000000037 42.21787000000006, 20.590246546680227 41.855408919283626, 20.59024743010491 41.855404161133606, 20.463175083099202 41.51508901627534, 20.605181919037364 41.086226304685226, 21.0200403174764 40.84272695572588))",Albania,5.304,5.44,5.168,1.428,1.438,0.924,0.638,0.69,0.138,0.049,26.923076923076923,27.11161387631976,17.420814479638008,12.028657616892911,13.009049773755654,2.6018099547511313,0.9238310708898945
"POLYGON ((16.564808383864857 46.50375092221983, 16.8825150895953 46.38063182228444, 17.630066359129557 45.95176911069419, 18.45606245288286 45.75948110613615, 18.829824792873946 45.908872358025285, 19.072768995854176 45.52151113543209, 19.39047570158459 45.236515611342384, 19.005484597557594 44.86023449354299, 18.553214145591653 45.08158966733146, 17.861783481526402 45.067740383477144, 17.002146030351014 45.23377676043094, 16.534939406000206 45.21160757097772, 16.318156772535872 45.00412669532591, 15.959367303133376 45.23377676043094, 15.750026075918981 44.818711656262565, 16.23966027188453 44.35114329688571, 16.456442905348865 44.04123973243128, 16.91615644701733 43.66772247982567, 17.297373488034452 43.44634064388737, 17.674921502358984 43.02856252702361, 18.559999999999945 42.64999999999998, 18.45001688302086 42.47999224531218, 18.450016310304818 42.47999136002932, 17.509970330483327 42.849994615239154, 16.930005730871642 43.20999848080038, 16.015384555737683 43.50721548112722, 15.174453973052096 44.243191229827914, 15.376250441151797 44.31791535092208, 14.92030927904051 44.73848399512946, 14.901602410550879 45.07606028907611, 14.258747592839995 45.23377676043094, 13.952254672917036 44.80212352149687, 13.656975538801191 45.13693512631596, 13.67940311041582 45.48414907488501, 13.715059848697223 45.500323798192376, 14.411968214585414 45.46616567644746, 14.595109490627806 45.634940904312714, 14.935243767972935 45.471695054702685, 15.327674594797429 45.45231639259333, 15.323953891672405 45.73178253842768, 15.671529575267556 45.83415355079788, 15.768732944408553 46.23810822202345, 16.564808383864857 46.50375092221983))",Croatia,5.942,6.047,5.837,1.574,1.71,1.445,0.637,0.469,0.064,0.043,26.48939750925614,28.77818916189835,24.31841130932346,10.720296196566812,7.892965331538202,1.0770784247728038,0.7236620666442275
"POLYGON ((9.59422610844635 47.52505809182027, 9.632931756232978 47.34760122332999, 9.479969516649021 47.102809963563374, 9.932448357796659 46.92072805438296, 10.44270145024663 46.89354625099743, 10.363378126678612 46.48357127540986, 9.922836541390382 46.31489940040919, 9.182881707403055 46.44021474871698, 8.966305779667806 46.03693187111119, 8.489952426801324 46.005150865251686, 8.31662967289438 46.16364248309086, 7.7559920589598335 45.82449005795931, 7.2738509456766565 45.776947740250776, 6.843592970414505 45.99114655210061, 6.5000997249704255 46.42967275652944, 6.022609490593538 46.27298981382047, 6.037388950229001 46.725778713561866, 6.768713820023606 47.2877082383037, 6.736571079138059 47.541801255882845, 7.192202182655507 47.44976552997102, 7.466759067422231 47.62058197691181, 8.317301466514095 47.61357982033627, 8.522611932009767 47.83082754169129, 9.59422610844635 47.52505809182027))",Switzerland,7.06,7.147,6.973,1.488,1.97,1.425,0.747,0.759,0.173,0.498,21.076487252124647,27.90368271954674,20.18413597733711,10.580736543909348,10.75070821529745,2.45042492917847,7.053824362606233
"POLYGON ((6.043073357781111 50.128051662794235, 6.242751092156993 49.90222565367873, 6.186320428094177 49.463802802114515, 5.897759230176348 49.44266714130711, 5.674051954784829 49.529483547557504, 5.782417433300907 50.09032786722122, 6.043073357781111 50.128051662794235))",Luxembourg,7.122,7.213,7.031,1.54,2.141,1.355,0.708,0.801,0.146,0.432,21.62313956753721,30.06178039876439,19.025554619488908,9.941027801179443,11.246840775063186,2.0499859590002805,6.065711878685763
"POLYGON ((6.15665815595878 50.80372101501058, 6.043073357781111 50.128051662794235, 5.782417433300907 50.09032786722122, 5.674051954784829 49.529483547557504, 4.799221632515724 49.98537303323637, 4.2860229834250845 49.907496649772554, 3.588184441755658 50.37899241800356, 3.1232515804256877 50.78036326761455, 2.658422071960274 50.796848049515745, 2.5135730322461427 51.14850617126183, 3.3149711442285366 51.345780951536085, 3.3150114849641596 51.34577662473805, 3.3149711442285366 51.34575511331991, 4.047071160507528 51.26725861266857, 4.973991326526914 51.47502370869813, 5.606975945670001 51.03729848896978, 6.15665815595878 50.80372101501058))",Belgium,6.894,6.961,6.827,1.686,1.868,1.44,0.69,0.729,0.17,0.311,24.456048738033072,27.096025529445892,20.887728459530024,10.00870322019147,10.574412532637076,2.465912387583406,4.511169132579054
"POLYGON ((6.905139601274129 53.48216217713065, 7.092053256873896 53.144043280644894, 6.842869500362383 52.22844025329755, 6.589396599970826 51.852029120483394, 5.988658074577813 51.851615709025054, 6.15665815595878 50.80372101501058, 5.606975945670001 51.03729848896978, 4.973991326526914 51.47502370869813, 4.047071160507528 51.26725861266857, 3.3149711442285366 51.34575511331991, 3.3150114849641596 51.34577662473805, 3.8302885270431375 51.62054454203195, 4.705997348661185 53.091798407597764, 6.074182570020923 53.510403347378144, 6.905139601274129 53.48216217713065))",Netherlands,7.319,7.383,7.256,1.906,1.901,1.462,0.706,0.725,0.247,0.372,26.04180899029922,25.973493646673045,19.975406476294573,9.646126520016395,9.905724825795874,3.374777975133215,5.082661565787676
"POLYGON ((-9.034817674180246 41.880570583659676, -8.67194576662672 42.13468943945496, -8.263856980817792 42.28046865495034, -8.013174607769912 41.790886135417125, -7.422512986673795 41.79207469335984, -7.251308966490824 41.91834605566505, -6.6686055159676565 41.883386949219584, -6.389087693700915 41.381815497394655, -6.851126674822552 41.11108266861753, -6.864019944679385 40.33087189387483, -7.026413133156595 40.184524237624245, -7.066591559263529 39.711891587882775, -7.498632371439726 39.62957103124181, -7.098036668313128 39.03007274022379, -7.374092169616318 38.37305858006492, -7.029281175148796 38.07576406508977, -7.166507941099865 37.803894354802225, -7.537105475281024 37.42890432387624, -7.453725551778092 37.09778758396607, -7.855613165711986 36.83826854099627, -8.382816127953689 36.97888011326246, -8.898856980820327 36.86880931248078, -8.746101446965554 37.65134552667661, -8.83999752443988 38.266243394517616, -9.287463751655224 38.3584858261586, -9.526570603869715 38.73742910415491, -9.446988898140233 39.39206614842837, -9.048305223008427 39.75509308527877, -8.977353481471681 40.15930613866581, -8.768684047877102 40.76063894303019, -8.79085323733031 41.18433401139126, -8.99078935386757 41.54345937760364, -9.034817674180246 41.880570583659676))",Portugal,6.03,6.134,5.925,1.397,1.728,1.368,0.699,0.757,0.047,0.035,23.167495854063016,28.656716417910445,22.686567164179106,11.592039800995025,12.553897180762853,0.7794361525704809,0.5804311774461028
"POLYGON ((-7.453725551778092 37.09778758396607, -7.537105475281024 37.42890432387624, -7.166507941099865 37.803894354802225, -7.029281175148796 38.07576406508977, -7.374092169616318 38.37305858006492, -7.098036668313128 39.03007274022379, -7.498632371439726 39.62957103124181, -7.066591559263529 39.711891587882775, -7.026413133156595 40.184524237624245, -6.864019944679385 40.33087189387483, -6.851126674822552 41.11108266861753, -6.389087693700915 41.381815497394655, -6.6686055159676565 41.883386949219584, -7.251308966490824 41.91834605566505, -7.422512986673795 41.79207469335984, -8.013174607769912 41.790886135417125, -8.263856980817792 42.28046865495034, -8.67194576662672 42.13468943945496, -9.034817674180246 41.880570583659676, -8.984433152695672 42.59277517350627, -9.392883673530648 43.0266246608127, -7.97818966310831 43.74833771420099, -6.754491746436756 43.567909450853925, -5.411886359061597 43.57423981380968, -4.3478427799557835 43.40344920508504, -3.5175317041060907 43.4559007838613, -1.901351284177764 43.42280202897834, -1.502770961910528 43.03401439063043, 0.3380469091905809 42.57954600683955, 0.7015906103638941 42.795734361332606, 1.8267932470871528 42.34338471126569, 2.9859989762584576 42.47301504166986, 3.0394840836805486 41.892120266276905, 2.0918416683121848 41.226088568683096, 0.8105245296351882 41.01473196060934, 0.7213310074994013 40.678318386389236, 0.1066915218198687 40.12393362076202, -0.278711310212941 39.30997813573272, 0.1112907242938377 38.73851430923304, -0.4671235823491031 38.29236583104115, -0.6833894514905978 37.642353827457825, -1.4383821272748492 37.44306366632422, -2.146452602538119 36.67414419203729, -3.4157808089233868 36.65889964451118, -4.368900926114719 36.677839056946155, -4.995219285492212 36.32470815687964, -5.3771597965614575 35.946850083961465, -5.866432257500904 36.02981659600606, -6.236693894872175 36.367677110330334, -6.520190802425404 36.94291331638732, -7.453725551778092 37.09778758396607))",Spain,6.421,6.502,6.339,1.54,1.766,1.471,0.729,0.619,0.119,0.177,23.983803145927425,27.503504127083005,22.909204173804703,11.353371748948762,9.64024295281109,1.8532938794580283,2.756579971966983
"POLYGON ((-6.197884894220991 53.867565009163364, -6.032985398777611 53.15316417094435, -6.788856573910849 52.260117906292336, -8.56161658368356 51.669301255899356, -9.977085740590269 51.82045482035308, -9.166282517930782 52.86462881124268, -9.688524542672454 53.8813626165853, -8.327987433292009 54.66451894796863, -7.572167934591064 55.13162221945487, -7.3660306461787854 54.59584096945272, -7.572167934591064 54.059956366586, -6.953730231138067 54.073702297575636, -6.197884894220991 53.867565009163364))",Ireland,6.838,6.927,6.749,1.239,2.129,1.39,0.7,0.758,0.205,0.418,18.119333138344544,31.13483474700205,20.327581164083064,10.236911377595789,11.085112606025154,2.9979526177244806,6.11289850833577
"MULTIPOLYGON (((10.44270145024663 46.89354625099743, 11.048555942436536 46.75135854754634, 11.16482791509327 46.94157949481273, 12.153088006243054 47.11539317482645, 12.376485223040817 46.76755910906985, 13.806475457421527 46.509306138691215, 13.698109978905478 46.01677806251735, 13.937630242578308 45.59101593686462, 13.141606479554296 45.73669179949542, 12.32858117030625 45.381778062514826, 12.383874952858548 44.885374253919096, 12.261453484759102 44.600482082693986, 12.589237094786455 44.09136587175446, 13.526905958722494 43.587727362637864, 14.029820997787029 42.761007798832466, 15.142569614327925 41.95513967545685, 15.926191033601896 41.961315009115715, 16.169897088290384 41.74029490820339, 15.889345737377797 41.541082261718216, 16.785001661860548 41.17960561783656, 17.51916873543118 40.87714345963222, 18.37668745288252 40.35562490494263, 18.48024702319543 40.16886627863981, 18.293385044028042 39.810774441073264, 17.738380161213314 40.277671006830346, 16.869595981522338 40.44223460546381, 16.448743116937322 39.79540070246644, 17.17148969897147 39.42469981542068, 17.052840610429314 38.90287120213735, 16.635088331781816 38.843572496082416, 16.100960727613 37.9858987493342, 15.684086948314473 37.908849188787016, 15.687962680736348 38.21459280044188, 15.89198123542468 38.75094249119924, 16.109332309644287 38.9645470240777, 15.718813510814613 39.54407237401492, 15.413612501698793 40.048356838535156, 14.99849572109818 40.17294871679087, 14.703268263414714 40.604550279292596, 14.060671827865264 40.7863479680954, 13.627985060285397 41.1882872584616, 12.888081902730365 41.253089504555604, 12.106682570044939 41.70453481705741, 11.191906365614216 42.3554253199897, 10.51194786951774 42.93146251074721, 10.200028924203991 43.9200068222746, 9.702488234097842 44.03627879493132, 8.88894616052687 44.36633616797951, 8.428560825238577 44.23122813575242, 7.8507666357831445 43.76714793555524, 7.435184767291872 43.69384491634922, 7.549596388386107 44.12790110938481, 7.007562290076635 44.25476675066136, 6.749955275101655 45.02851797136758, 7.096652459347837 45.33309886329589, 6.802355177445605 45.70857982032864, 6.843592970414505 45.99114655210061, 7.2738509456766565 45.776947740250776, 7.7559920589598335 45.82449005795931, 8.31662967289438 46.16364248309086, 8.489952426801324 46.005150865251686, 8.966305779667806 46.03693187111119, 9.182881707403055 46.44021474871698, 9.922836541390382 46.31489940040919, 10.363378126678612 46.48357127540986, 10.44270145024663 46.89354625099743)), ((14.761249220446189 38.14387360285046, 15.520376010813806 38.23115509699143, 15.160242954171736 37.44404551853776, 15.309897902089006 37.13421946873183, 15.099988234119422 36.6199872909954, 14.335228712631988 36.996630967754726, 13.826732618879959 37.10453135838016, 12.431003859108756 37.61294993748375, 12.570943637755136 38.12638113051966, 13.741156447004613 38.03496552179533, 14.761249220446189 38.14387360285046)), ((8.709990675500109 40.899984442705225, 9.210011834356266 41.209991360024176, 9.80997521326492 40.50000885676613, 9.669518670295616 39.17737641047178, 9.214817742559433 39.24047333430015, 8.806935662479674 38.906617743478506, 8.428302443077115 39.17184703221655, 8.388253208050912 40.37831085871876, 8.159998406617689 40.95000722916376, 8.709990675500109 40.899984442705225)))",Italy,6.324,6.436,6.211,1.777,1.8,1.328,0.72,0.513,0.112,0.074,28.099304237824164,28.4629981024668,20.99936748893106,11.385199240986717,8.111954459203037,1.7710309930423784,1.170145477545857
"MULTIPOLYGON (((9.921906365609118 54.98310415304803, 9.282048780971138 54.830865383516176, 8.526229282270208 54.96274363872516, 8.120310906617533 55.5177226833236, 8.08997684086222 56.54001170513759, 8.256581658571207 56.80996938743033, 8.543437534223415 57.11000275331695, 9.424469028367554 57.1720661484995, 9.775558709358535 57.44794078228966, 10.580005730846125 57.73001658795485, 10.546105991262664 57.21573273378612, 10.250000034230226 56.89001618105044, 10.369992710011957 56.60998159446079, 10.912181837618306 56.458621324277885, 10.667803989310016 56.08138336854721, 10.369992710011957 56.19000722922473, 9.649984978889279 55.469999498102055, 9.921906365609118 54.98310415304803)), ((12.370904168353292 56.111407375708794, 12.690006137755603 55.60999095318074, 12.089991082414684 54.80001455343792, 11.043543328504226 55.36486379660424, 10.903913608451603 55.77995473898872, 12.370904168353292 56.111407375708794)))",Denmark,7.583,7.665,7.5,1.881,1.908,1.52,0.699,0.823,0.204,0.548,24.80548595542661,25.161545562442306,20.044837135698273,9.217987603850718,10.853224317552419,2.690228141896347,7.226691283133325
"MULTIPOLYGON (((-6.197884894220991 53.867565009163364, -6.953730231138067 54.073702297575636, -7.572167934591064 54.059956366586, -7.3660306461787854 54.59584096945272, -7.572167934591064 55.13162221945487, -6.733847011736145 55.17286001242378, -5.661948614921968 54.55460317648381, -6.197884894220991 53.867565009163364)), ((-3.093830673788716 53.404547400669685, -3.0920796370471066 53.40444082296358, -2.945008510744344 53.98499970154671, -3.614700825433033 54.600936773292574, -3.6300054589893307 54.615012925833014, -4.8441690739030605 54.790971177786844, -5.0825266178492825 55.06160065369937, -4.7191121077567 55.50847260194348, -5.047980922862109 55.78398550070756, -5.586397670911197 55.31114614523682, -5.644998745130238 56.27501496034483, -6.1499808414864106 56.785009670633485, -5.786824713555291 57.81884837506465, -5.009998745127632 58.63001333275008, -4.211494513353557 58.55084503847911, -3.0050048486352807 58.63500010846633, -4.073828497728073 57.55302480735526, -3.0550017968777183 57.69001902936094, -1.9592805647769183 57.68479970969952, -2.219988165689358 56.87001740175356, -3.1190030582711756 55.973793036515474, -2.085009324543023 55.9099984808513, -2.005675679673857 55.804902850350175, -1.11499101399221 54.624986477265395, -0.4304849918542004 54.46437612570219, 0.1849813167420393 53.32501414653103, 0.469976840831805 52.929999498092, 1.6815307959146821 52.739520168664, 1.5599878271643206 52.09999848083601, 1.0505615576309424 51.806760565795685, 1.4498653499502439 51.28942780212191, 0.5503336930455021 50.765738837275876, -0.7875174625586965 50.77498891865622, -2.4899975244144343 50.50001862243124, -2.956273972984093 50.696879991247044, -3.617448085942385 50.22835561787275, -4.542507900399244 50.341837063185665, -5.245023159191135 49.95999990498109, -5.776566941745273 50.15967763935686, -4.309989793301895 51.21000112568919, -3.414850633142123 51.42600861266925, -3.4227194671083794 51.42684816740609, -4.9843672347109305 51.593466091511004, -5.267295701508942 51.991400458374585, -4.222346564134909 52.301355699261364, -4.77001339356417 52.840004991255626, -4.579999152026971 53.49500377055517, -3.093830673788716 53.404547400669685)))",United Kingdom,6.749,6.833,6.665,1.598,1.822,1.326,0.672,0.713,0.267,0.351,23.677581863979853,26.996592087716703,19.647355163727962,9.957030671210552,10.564528078233812,3.956141650614906,5.200770484516225
"POLYGON ((-14.508695441129234 66.45589223903143, -14.739637417041607 65.8087482774403, -13.60973222497981 65.12667104761987, -14.909833746794902 64.36408193628868, -17.794438035543422 63.678749091233854, -18.656245896874992 63.49638296167582, -19.97275468594276 63.64363495549153, -22.762971971110158 63.960178941495386, -21.778484259517683 64.40211579045551, -23.95504391121911 64.8911298692335, -22.184402635170358 65.0849681667603, -22.227423265053332 65.37859365504274, -24.326184047939336 65.61118927678847, -23.65051469572309 66.26251902939522, -22.134922451250887 66.41046865504687, -20.57628373867955 65.73211212835143, -19.05684160000159 66.27660085719477, -17.79862382655905 65.99385325790978, -16.167818976292125 66.52679230413587, -14.508695441129234 66.45589223903143))",Iceland,7.525,7.618,7.433,2.05,1.881,1.617,0.718,0.819,0.258,0.182,27.242524916943516,24.996677740863788,21.488372093023255,9.541528239202657,10.883720930232558,3.428571428571429,2.4186046511627906
"POLYGON ((13.806475457421527 46.509306138691215, 14.63247155117483 46.43181732846955, 15.137091912504985 46.65870270444703, 16.011663852612656 46.6836107448117, 16.202298211337364 46.85238597267696, 16.370504998447416 46.841327216166505, 16.564808383864857 46.50375092221983, 15.768732944408553 46.23810822202345, 15.671529575267556 45.83415355079788, 15.323953891672405 45.73178253842768, 15.327674594797429 45.45231639259333, 14.935243767972935 45.471695054702685, 14.595109490627806 45.634940904312714, 14.411968214585414 45.46616567644746, 13.715059848697223 45.500323798192376, 13.937630242578308 45.59101593686462, 13.698109978905478 46.01677806251735, 13.806475457421527 46.509306138691215))",Slovenia,6.743,6.843,6.643,1.683,1.786,1.502,0.695,0.789,0.157,0.131,24.95921696574225,26.486726976123386,22.274951801868603,10.306985021503781,11.701023283405013,2.3283405012605662,1.9427554500963962
"POLYGON ((28.591929559043194 69.06477692328666, 28.445943637818658 68.36461294216404, 29.97742638522061 67.69829702419275, 29.054588657352326 66.94428620062206, 30.217650000000003 65.80598, 29.54442955904699 64.94867157659048, 30.44468468600371 64.20445343693909, 30.035872430142717 63.55281362573855, 31.516092156711125 62.86768748641289, 31.139991082490894 62.35769277612441, 30.21110721204445 61.780027777749694, 28.07000000000005 60.503520000000094, 28.070001921525666 60.50351912796823, 28.069997592895277 60.50351654727584, 26.255172967236973 60.4239606797625, 24.496623976344523 60.05731639265166, 22.869694858499457 59.846373196036225, 22.290763787533592 60.39192129174154, 21.322244093519316 60.720169989659524, 21.544866163832694 61.70532949487179, 21.05921105315369 62.60739329695874, 21.536029493910803 63.18973501245587, 22.442744174903993 63.81781037053129, 24.730511508897536 64.90234365504084, 25.398067661243942 65.11142650009374, 25.294043003040404 65.53434642197045, 23.903378533633802 66.00692739527962, 23.565879754335583 66.39605093043743, 23.53947309743444 67.93600861273525, 21.978534783626117 68.6168456081807, 20.645592889089528 69.10624726020087, 21.244936150810673 69.37044302029308, 22.356237827247412 68.84174144151491, 23.66204959483076 68.89124746365054, 24.735679152126725 68.64955678982146, 25.689212680776365 69.09211375596904, 26.179622023226244 69.82529897732614, 27.732292107867863 70.16419302029625, 29.015572950971972 69.76649119737799, 28.591929559043194 69.06477692328666))",Finland,7.741,7.815,7.667,2.082,1.844,1.572,0.695,0.859,0.142,0.546,26.89574990311329,23.82121172975068,20.307453817336263,8.978168195323603,11.096757524867588,1.8343883219222323,7.053352280067175
