country,year,pop,continent,lifeExp,gdpPercap
Gambia,2007,1688359.0,Africa,59.448,752.7497265
Germany,2007,82400996.0,Europe,79.406,32170.37442
Ghana,2007,22873338.0,Africa,60.022,1327.60891
Greece,2007,10706290.0,Europe,79.483,27538.41188
Guatemala,2007,12572928.0,Americas,70.259,5186.050003
Guinea,2007,9947814.0,Africa,56.007,942.6542111
Guinea-Bissau,2007,1472041.0,Africa,46.388,579.231743
Haiti,2007,8502814.0,Americas,60.916,1201.637154
Honduras,2007,7483763.0,Americas,70.198,3548.330846
"Hong Kong, China",2007,6980412.0,Asia,82.208,39724.97867
Hungary,2007,9956108.0,Europe,73.338,18008.94444
Iceland,2007,301931.0,Europe,81.757,36180.78919
India,2007,1110396331.0,Asia,64.698,2452.210407
Indonesia,2007,223547000.0,Asia,70.65,3540.651564
Iran,2007,69453570.0,Asia,70.964,11605.71449
Iraq,2007,27499638.0,Asia,59.545,4471.061906
Ireland,2007,4109086.0,Europe,78.885,40675.99635
Israel,2007,6426679.0,Asia,80.745,25523.2771
Italy,2007,58147733.0,Europe,80.546,28569.7197
Jamaica,2007,2780132.0,Americas,72.567,7320.880262
Japan,2007,127467972.0,Asia,82.603,31656.06806
Jordan,2007,6053193.0,Asia,72.535,4519.461171
Kenya,2007,35610177.0,Africa,54.11,1463.249282
"Korea, Dem. Rep.",2007,23301725.0,Asia,67.297,1593.06548
"Korea, Rep.",2007,49044790.0,Asia,78.623,23348.13973
Kuwait,2007,2505559.0,Asia,77.588,47306.98978
Lebanon,2007,3921278.0,Asia,71.993,10461.05868
Lesotho,2007,2012649.0,Africa,42.592,1569.331442
Liberia,2007,3193942.0,Africa,45.678,414.5073415
Libya,2007,6036914.0,Africa,73.952,12057.49928
Madagascar,2007,19167654.0,Africa,59.443,1044.770126
Malawi,2007,13327079.0,Africa,48.303,759.3499101
Malaysia,2007,24821286.0,Asia,74.241,12451.6558
Mali,2007,12031795.0,Africa,54.467,1042.581557
Mauritania,2007,3270065.0,Africa,64.164,1803.151496
Mauritius,2007,1250882.0,Africa,72.801,10956.99112
Mexico,2007,108700891.0,Americas,76.195,11977.57496
Mongolia,2007,2874127.0,Asia,66.803,3095.772271
Montenegro,2007,684736.0,Europe,74.543,9253.896111
Morocco,2007,33757175.0,Africa,71.164,3820.17523
Mozambique,2007,19951656.0,Africa,42.082,823.6856205
Myanmar,2007,47761980.0,Asia,62.069,944.0
Namibia,2007,2055080.0,Africa,52.906,4811.060429
Nepal,2007,28901790.0,Asia,63.785,1091.359778
Netherlands,2007,16570613.0,Europe,79.762,36797.93332
New Zealand,2007,4115771.0,Oceania,80.204,25185.00911
Nicaragua,2007,5675356.0,Americas,72.899,2749.320965
Niger,2007,12894865.0,Africa,56.867,619.6768924
Nigeria,2007,135031164.0,Africa,46.859,2013.977305
Norway,2007,4627926.0,Europe,80.196,49357.19017
Oman,2007,3204897.0,Asia,75.64,22316.19287
Pakistan,2007,169270617.0,Asia,65.483,2605.94758
Panama,2007,3242173.0,Americas,75.537,9809.185636
Paraguay,2007,6667147.0,Americas,71.752,4172.838464
Peru,2007,28674757.0,Americas,71.421,7408.905561
Philippines,2007,91077287.0,Asia,71.688,3190.481016
Poland,2007,38518241.0,Europe,75.563,15389.92468
Portugal,2007,10642836.0,Europe,78.098,20509.64777
Puerto Rico,2007,3942491.0,Americas,78.746,19328.70901
Reunion,2007,798094.0,Africa,76.442,7670.122558
Romania,2007,22276056.0,Europe,72.476,10808.47561
Rwanda,2007,8860588.0,Africa,46.242,863.0884639
Sao Tome and Principe,2007,199579.0,Africa,65.528,1598.435089
Saudi Arabia,2007,27601038.0,Asia,72.777,21654.83194
Senegal,2007,12267493.0,Africa,63.062,1712.472136
Serbia,2007,10150265.0,Europe,74.002,9786.534714
Sierra Leone,2007,6144562.0,Africa,42.568,862.5407561
Singapore,2007,4553009.0,Asia,79.972,47143.17964
Slovak Republic,2007,5447502.0,Europe,74.663,18678.31435
Slovenia,2007,2009245.0,Europe,77.926,25768.25759
Somalia,2007,9118773.0,Africa,48.159,926.1410683
South Africa,2007,43997828.0,Africa,49.339,9269.657808
Spain,2007,40448191.0,Europe,80.941,28821.0637
Sri Lanka,2007,20378239.0,Asia,72.396,3970.095407
Sudan,2007,42292929.0,Africa,58.556,2602.394995
Swaziland,2007,1133066.0,Africa,39.613,4513.480643
Sweden,2007,9031088.0,Europe,80.884,33859.74835
Switzerland,2007,7554661.0,Europe,81.701,37506.41907
Syria,2007,19314747.0,Asia,74.143,4184.548089
Taiwan,2007,23174294.0,Asia,78.4,28718.27684
Tanzania,2007,38139640.0,Africa,52.517,1107.482182
Thailand,2007,65068149.0,Asia,70.616,7458.396327
Togo,2007,5701579.0,Africa,58.42,882.9699438
Trinidad and Tobago,2007,1056608.0,Americas,69.819,18008.50924
Tunisia,2007,10276158.0,Africa,73.923,7092.923025
Turkey,2007,71158647.0,Europe,71.777,8458.276384
Uganda,2007,29170398.0,Africa,51.542,1056.380121
United Kingdom,2007,60776238.0,Europe,79.425,33203.26128
United States,2007,301139947.0,Americas,78.242,42951.65309
Uruguay,2007,3447496.0,Americas,76.384,10611.46299
Venezuela,2007,26084662.0,Americas,73.747,11415.80569
Vietnam,2007,85262356.0,Asia,74.249,2441.576404
West Bank and Gaza,2007,4018332.0,Asia,73.422,3025.349798
"Yemen, Rep.",2007,22211743.0,Asia,62.698,2280.769906
Zambia,2007,11746035.0,Africa,42.384,1271.211593
Zimbabwe,2007,12311143.0,Africa,43.487,469.7092981
